id,ivr_test_index,annotator,word_index,word,start_s,end_s
ivr-hi-0001,1,ann1,12,पाते,4.982,5.352
ivr-hi-0001,1,ann1,13,हैं,5.353,5.583
ivr-hi-0001,1,ann2,0,क्योंकि,0.016,0.486
ivr-hi-0001,1,ann2,1,वह,0.74,0.93
ivr-hi-0001,1,ann2,2,ऐसा,0.937,1.387
ivr-hi-0001,1,ann2,3,बात,1.387,1.667
ivr-hi-0001,1,ann2,4,बोलते,1.666,2.106
ivr-hi-0001,1,ann2,5,हैं,2.1,2.35
ivr-hi-0001,1,ann2,6,जो,2.635,3.075
ivr-hi-0001,1,ann2,7,हम,3.215,3.595
ivr-hi-0001,1,ann2,8,नॉर्मल,3.594,4.034
ivr-hi-0001,1,ann2,9,लोग,4.035,4.295
ivr-hi-0001,1,ann2,10,नहीं,4.291,4.631
ivr-hi-0001,1,ann2,11,समझ,4.631,5.001
ivr-hi-0001,1,ann2,12,पाते,4.999,5.359
ivr-hi-0001,1,ann2,13,हैं,5.361,5.611
ivr-hi-0002,2,ann1,0,हेलो,0.009,0.469
ivr-hi-0002,2,ann1,1,क्या,0.767,0.987
ivr-hi-0002,2,ann1,2,मेरी,0.989,1.299
ivr-hi-0002,2,ann1,3,बात,1.291,1.581
ivr-hi-0002,2,ann1,4,स्वादिष्ट,1.594,2.244
ivr-hi-0002,2,ann1,5,व्यंजन,2.243,2.873
ivr-hi-0002,2,ann1,6,रेस्टोरेंट,3.297,4.057
ivr-hi-0002,2,ann1,7,के,4.047,4.297
ivr-hi-0002,2,ann1,8,मालिक,4.612,5.042
ivr-hi-0002,2,ann1,9,से,5.035,5.245
ivr-hi-0002,2,ann1,10,हो,5.243,5.413
ivr-hi-0002,2,ann1,11,रही,5.41,5.77
ivr-hi-0002,2,ann1,12,है,5.767,6.015
ivr-hi-0002,2,ann2,0,हेलो,0.005,0.435
ivr-hi-0002,2,ann2,1,क्या,0.767,0.967
ivr-hi-0002,2,ann2,2,मेरी,0.975,1.235
ivr-hi-0002,2,ann2,3,बात,1.237,1.547
ivr-hi-0002,2,ann2,4,स्वादिष्ट,1.547,2.287
ivr-hi-0002,2,ann2,5,व्यंजन,2.277,2.907
ivr-hi-0002,2,ann2,6,रेस्टोरेंट,3.303,4.053
ivr-hi-0002,2,ann2,7,के,4.053,4.303
ivr-hi-0002,2,ann2,8,मालिक,4.618,4.998
ivr-hi-0002,2,ann2,9,से,4.993,5.213
ivr-hi-0002,2,ann2,10,हो,5.214,5.394
ivr-hi-0002,2,ann2,11,रही,5.398,5.748
ivr-hi-0002,2,ann2,12,है,5.744,5.994
ivr-hi-0003,3,ann1,0,विद्धि,0.092,0.472
ivr-hi-0003,3,ann1,1,करने,0.539,0.829
ivr-hi-0003,3,ann1,2,में,0.84,1.1
ivr-hi-0003,3,ann1,3,मदद,1.337,1.717
ivr-hi-0003,3,ann1,4,करते,1.826,2.158
ivr-hi-0003,3,ann1,5,हैं,2.164,2.374
ivr-hi-0003,3,ann1,6,जैसे,2.769,3.228
ivr-hi-0003,3,ann1,7,कि,3.304,3.484
ivr-hi-0003,3,ann1,8,यहाँ,3.867,4.167
ivr-hi-0003,3,ann1,9,पे,4.261,4.431
ivr-hi-0003,3,ann1,10,कई,4.723,5.013
ivr-hi-0003,3,ann1,11,सारे,5.028,5.418
ivr-hi-0003,3,ann1,12,ऐसे,5.432,5.802
ivr-hi-0003,3,ann1,13,इस्कूल,5.811,6.261
ivr-hi-0003,3,ann2,0,विद्धि,0.08,0.51
ivr-hi-0003,3,ann2,1,करने,0.51,0.85
ivr-hi-0003,3,ann2,2,में,0.854,1.104
ivr-hi-0003,3,ann2,3,मदद,1.328,1.818
ivr-hi-0003,3,ann2,4,करते,1.827,2.187
ivr-hi-0003,3,ann2,5,हैं,2.189,2.439
ivr-hi-0003,3,ann2,6,जैसे,2.744,3.264
ivr-hi-0003,3,ann2,7,कि,3.262,3.542
ivr-hi-0003,3,ann2,8,यहाँ,3.849,4.209
ivr-hi-0003,3,ann2,9,पे,4.205,4.465
ivr-hi-0003,3,ann2,10,कई,4.71,5.03
ivr-hi-0003,3,ann2,11,सारे,5.041,5.381
ivr-hi-0003,3,ann2,12,ऐसे,5.378,5.808
ivr-hi-0003,3,ann2,13,इस्कूल,5.815,6.295
ivr-hi-0004,4,ann1,0,किताबों,0.018,0.638
ivr-hi-0004,4,ann1,1,के,0.635,0.835
ivr-hi-0004,4,ann1,2,अलावा,0.828,1.438
ivr-hi-0004,4,ann1,3,ऐसे,1.76,2.18
ivr-hi-0004,4,ann1,4,कई,2.178,2.568
ivr-hi-0004,4,ann1,5,पत्रिका,2.564,3.394
ivr-hi-0004,4,ann1,6,ब्लॉग,3.58,3.97
ivr-hi-0004,4,ann1,7,या,3.966,4.216
ivr-hi-0004,4,ann1,8,समाचार,4.216,4.776
ivr-hi-0004,4,ann1,9,पत्र,4.769,5.109
ivr-hi-0004,4,ann1,10,है,5.104,5.354
ivr-hi-0004,4,ann1,11,जिसे,5.354,5.604
ivr-hi-0004,4,ann1,12,हम,5.605,5.855
ivr-hi-0004,4,ann1,13,पढ़ते,5.856,6.266
ivr-hi-0004,4,ann1,14,हैं,6.261,6.496
ivr-hi-0006,6,ann1,0,हमारे,0.058,0.548
ivr-hi-0006,6,ann1,1,ज़िले,0.544,0.914
ivr-hi-0006,6,ann1,2,में,0.91,1.16
ivr-hi-0006,6,ann1,3,कई,1.411,1.661
ivr-hi-0006,6,ann1,4,जगह,1.65,2.03
ivr-hi-0006,6,ann1,5,पे,2.024,2.174
ivr-hi-0006,6,ann1,6,आसपास,2.174,2.764
ivr-hi-0006,6,ann1,7,बदलती,2.757,3.237
ivr-hi-0006,6,ann1,8,भाषाएँ,3.235,3.865
ivr-hi-0006,6,ann1,9,हैं,3.863,4.113
ivr-hi-0006,6,ann1,10,कुछ,4.461,4.671
ivr-hi-0006,6,ann1,11,दूर,4.67,4.92
ivr-hi-0006,6,ann1,12,में,4.909,5.189
ivr-hi-0006,6,ann1,13,बहोत,5.343,5.623
ivr-hi-0006,6,ann1,14,सारी,5.627,5.887
ivr-hi-0006,6,ann1,15,भाषाएँ,5.888,6.398
ivr-hi-0006,6,ann1,16,बदल,6.598,6.898
ivr-hi-0006,6,ann1,17,जाती,6.882,7.282
ivr-hi-0006,6,ann1,18,हैं,7.286,7.536
ivr-hi-0007,7,ann1,0,जिसके,0.038,0.488
ivr-hi-0007,7,ann1,1,कारण,0.519,1.009
ivr-hi-0007,7,ann1,2,वह,1.265,1.545
ivr-hi-0007,7,ann1,3,अच्छे,1.571,1.971
ivr-hi-0007,7,ann1,4,से,1.965,2.225
ivr-hi-0007,7,ann1,5,चल,2.41,2.63
ivr-hi-0007,7,ann1,6,रहा,2.626,2.956
ivr-hi-0007,7,ann1,7,है,2.956,3.146
ivr-hi-0007,7,ann1,8,और,3.703,3.903
ivr-hi-0007,7,ann1,9,बिल्कुल,3.908,4.338
ivr-hi-0007,7,ann1,10,भी,4.341,4.531
ivr-hi-0007,7,ann1,11,खराब,4.529,4.899
ivr-hi-0007,7,ann1,12,नहीं,5.072,5.322
ivr-hi-0007,7,ann1,13,है,5.324,5.534
ivr-hi-0007,7,ann1,14,इसलिए,5.536,6.006
ivr-hi-0007,7,ann1,15,मुझे,6.008,6.328
ivr-hi-0007,7,ann1,16,यह,6.331,6.541
ivr-hi-0007,7,ann1,17,बहोत,6.645,6.935
ivr-hi-0007,7,ann1,18,पसंद,6.95,7.32
ivr-hi-0007,7,ann1,19,आया,7.322,7.692
ivr-hi-0008,8,ann1,0,हाँ,0.0,0.34
ivr-hi-0008,8,ann1,1,मैंने,0.512,0.952
ivr-hi-0008,8,ann1,2,अभी,0.948,1.468
ivr-hi-0008,8,ann1,3,कुछ,1.47,1.72
ivr-hi-0008,8,ann1,4,दिनों,1.714,2.124
ivr-hi-0008,8,ann1,5,पहले,2.123,2.543
ivr-hi-0008,8,ann1,6,एक,3.064,3.574
ivr-hi-0008,8,ann1,7,पेन,4.005,4.285
ivr-hi-0008,8,ann1,8,खरीदा,4.292,4.832
ivr-hi-0008,8,ann1,9,था,4.823,5.163
ivr-hi-0008,8,ann1,10,मतलब,5.442,5.952
ivr-hi-0008,8,ann1,11,मैंने,6.173,6.533
ivr-hi-0008,8,ann1,12,उस,6.539,6.799
ivr-hi-0008,8,ann1,13,पेन,6.792,7.042
ivr-hi-0008,8,ann1,14,का,7.036,7.286
ivr-hi-0008,8,ann1,15,पूरा,7.288,7.698
ivr-hi-0008,8,ann1,16,पैकेट,7.715,8.095
ivr-hi-0008,8,ann1,17,खरीदा,8.089,8.569
ivr-hi-0008,8,ann1,18,था,8.577,8.8
ivr-hi-0008,8,ann2,0,हाँ,0.033,0.343
ivr-hi-0008,8,ann2,1,मैंने,0.521,0.961
ivr-hi-0008,8,ann2,2,अभी,0.956,1.476
ivr-hi-0008,8,ann2,3,कुछ,1.47,1.8
ivr-hi-0008,8,ann2,4,दिनों,1.801,2.121
ivr-hi-0008,8,ann2,5,पहले,2.132,2.562
ivr-hi-0008,8,ann2,6,एक,3.081,3.551
ivr-hi-0008,8,ann2,7,पेन,4.013,4.273
ivr-hi-0008,8,ann2,8,खरीदा,4.266,4.816
ivr-hi-0008,8,ann2,9,था,4.815,5.125
ivr-hi-0008,8,ann2,10,मतलब,5.407,5.967
ivr-hi-0008,8,ann2,11,मैंने,6.173,6.553
ivr-hi-0008,8,ann2,12,उस,6.548,6.798
ivr-hi-0008,8,ann2,13,पेन,6.792,7.042
ivr-hi-0008,8,ann2,14,का,7.044,7.284
ivr-hi-0008,8,ann2,15,पूरा,7.288,7.718
ivr-hi-0008,8,ann2,16,पैकेट,7.706,8.116
ivr-hi-0008,8,ann2,17,खरीदा,8.116,8.576
ivr-hi-0008,8,ann2,18,था,8.577,8.8
ivr-hi-0009,9,ann1,0,पर,0.007,0.217
ivr-hi-0009,9,ann1,1,वह,0.214,0.434
ivr-hi-0009,9,ann1,2,बिल्कुल,0.787,1.217
ivr-hi-0009,9,ann1,3,भी,1.217,1.377
ivr-hi-0009,9,ann1,4,अच्छा,1.376,1.686
ivr-hi-0009,9,ann1,5,नहीं,1.695,2.035
ivr-hi-0009,9,ann1,6,निकला,2.023,2.303
ivr-hi-0009,9,ann1,7,क्योंकि,2.867,3.327
ivr-hi-0009,9,ann1,8,मैं,3.326,3.546
ivr-hi-0009,9,ann1,9,इसे,3.739,4.159
ivr-hi-0009,9,ann1,10,मेहंगे,4.554,5.024
ivr-hi-0009,9,ann1,11,दाम,5.023,5.353
ivr-hi-0009,9,ann1,12,पे,5.351,5.481
ivr-hi-0009,9,ann1,13,खरीदा,5.482,5.982
ivr-hi-0009,9,ann1,14,था,5.97,6.22
ivr-hi-0009,9,ann1,15,पर,6.682,6.882
ivr-hi-0009,9,ann1,16,इसकी,6.879,7.319
ivr-hi-0009,9,ann1,17,इंक,7.32,7.79
ivr-hi-0009,9,ann1,18,बिल्कुल,7.798,8.298
ivr-hi-0009,9,ann1,19,भी,8.295,8.445
ivr-hi-0009,9,ann1,20,अच्छी,8.445,8.885
ivr-hi-0009,9,ann1,21,नहीं,8.895,9.245
ivr-hi-0009,9,ann1,22,है,9.251,9.472
ivr-hi-0009,9,ann2,0,पर,0.017,0.237
ivr-hi-0009,9,ann2,1,वह,0.242,0.492
ivr-hi-0009,9,ann2,2,बिल्कुल,0.729,1.199
ivr-hi-0009,9,ann2,3,भी,1.198,1.288
ivr-hi-0009,9,ann2,4,अच्छा,1.282,1.682
ivr-hi-0009,9,ann2,5,नहीं,1.686,1.956
ivr-hi-0009,9,ann2,6,निकला,1.957,2.337
ivr-hi-0009,9,ann2,7,क्योंकि,2.857,3.327
ivr-hi-0009,9,ann2,8,मैं,3.326,3.526
ivr-hi-0009,9,ann2,9,इसे,3.691,4.171
ivr-hi-0009,9,ann2,10,मेहंगे,4.545,5.005
ivr-hi-0009,9,ann2,11,दाम,5.004,5.334
ivr-hi-0009,9,ann2,12,पे,5.332,5.482
ivr-hi-0009,9,ann2,13,खरीदा,5.482,5.982
ivr-hi-0009,9,ann2,14,था,5.988,6.238
ivr-hi-0009,9,ann2,15,पर,6.663,6.883
ivr-hi-0009,9,ann2,16,इसकी,6.888,7.368
ivr-hi-0009,9,ann2,17,इंक,7.366,7.766
ivr-hi-0009,9,ann2,18,बिल्कुल,7.77,8.28
ivr-hi-0009,9,ann2,19,भी,8.285,8.425
ivr-hi-0009,9,ann2,20,अच्छी,8.435,8.885
ivr-hi-0009,9,ann2,21,नहीं,8.895,9.245
ivr-hi-0009,9,ann2,22,है,9.241,9.472
ivr-hi-0010,10,ann1,0,हाँ,0.188,0.578
ivr-hi-0010,10,ann1,1,मैं,0.79,0.95
ivr-hi-0010,10,ann1,2,ऐसे,0.941,1.331
ivr-hi-0010,10,ann1,3,पाँच,1.332,1.782
ivr-hi-0010,10,ann1,4,अंतरराष्ट्रीय,1.773,2.793
ivr-hi-0010,10,ann1,5,सहरों,2.796,3.256
ivr-hi-0010,10,ann1,6,के,3.258,3.438
ivr-hi-0010,10,ann1,7,नाम,3.428,3.748
ivr-hi-0010,10,ann1,8,बता,3.739,4.039
ivr-hi-0010,10,ann1,9,सकती,4.03,4.57
ivr-hi-0010,10,ann1,10,हूँ,4.562,4.812
ivr-hi-0010,10,ann1,11,सिंगापूर,5.153,5.993
ivr-hi-0010,10,ann1,12,पैरिस,6.347,7.147
ivr-hi-0010,10,ann1,13,लंदन,7.139,7.999
ivr-hi-0010,10,ann1,14,होंगकोंग,8.283,9.093
ivr-hi-0010,10,ann1,15,टोकियो,9.416,10.116
ivr-hi-0010,10,ann2,0,हाँ,0.221,0.511
ivr-hi-0010,10,ann2,1,मैं,0.803,0.963
ivr-hi-0010,10,ann2,2,ऐसे,0.984,1.274
ivr-hi-0010,10,ann2,3,पाँच,1.395,1.685
ivr-hi-0010,10,ann2,4,अंतरराष्ट्रीय,1.846,2.786
ivr-hi-0010,10,ann2,5,सहरों,2.89,3.22
ivr-hi-0010,10,ann2,6,के,3.301,3.431
ivr-hi-0010,10,ann2,7,नाम,3.452,3.682
ivr-hi-0010,10,ann2,8,बता,3.713,4.033
ivr-hi-0010,10,ann2,9,सकती,4.074,4.564
ivr-hi-0010,10,ann2,10,हूँ,4.585,4.865
ivr-hi-0010,10,ann2,11,सिंगापूर,5.208,6.028
ivr-hi-0010,10,ann2,12,पैरिस,6.372,7.042
ivr-hi-0010,10,ann2,13,लंदन,7.214,8.044
ivr-hi-0010,10,ann2,14,होंगकोंग,8.308,9.048
ivr-hi-0010,10,ann2,15,टोकियो,9.422,9.992
ivr-hi-0011,11,ann1,0,हाँ,0.0,0.35
ivr-hi-0011,11,ann1,1,मैं,0.569,0.779
ivr-hi-0011,11,ann1,2,अपने,0.784,1.224
ivr-hi-0011,11,ann1,3,पाँच,1.225,1.625
ivr-hi-0011,11,ann1,4,पड़ोसियो,1.613,2.223
ivr-hi-0011,11,ann1,5,का,2.227,2.377
ivr-hi-0011,11,ann1,6,नाम,2.378,2.818
ivr-hi-0011,11,ann1,7,बता,2.819,3.239
ivr-hi-0011,11,ann1,8,सकती,3.228,3.688
ivr-hi-0011,11,ann1,9,हूँ,3.67,3.94
ivr-hi-0011,11,ann1,10,सीता,4.262,4.702
ivr-hi-0011,11,ann1,11,केशरी,4.714,5.274
ivr-hi-0011,11,ann1,12,आरती,5.565,6.055
ivr-hi-0011,11,ann1,13,कुमारी,6.06,6.653
ivr-hi-0011,11,ann1,14,विष्णुकांत,6.943,7.613
ivr-hi-0011,11,ann1,15,केशरी,7.611,8.221
ivr-hi-0011,11,ann1,16,अंजली,8.548,9.028
ivr-hi-0011,11,ann1,17,गुप्ता,9.022,9.602
ivr-hi-0011,11,ann1,18,रूबी,9.905,10.255
ivr-hi-0011,11,ann1,19,अग्रहरि,10.26,10.87
ivr-hi-0011,11,ann2,0,हाँ,0.009,0.359
ivr-hi-0011,11,ann2,1,मैं,0.572,0.752
ivr-hi-0011,11,ann2,2,अपने,0.741,1.221
ivr-hi-0011,11,ann2,3,पाँच,1.215,1.605
ivr-hi-0011,11,ann2,4,पड़ोसियो,1.602,2.212
ivr-hi-0011,11,ann2,5,का,2.205,2.365
ivr-hi-0011,11,ann2,6,नाम,2.356,2.796
ivr-hi-0011,11,ann2,7,बता,2.798,3.198
ivr-hi-0011,11,ann2,8,सकती,3.196,3.686
ivr-hi-0011,11,ann2,9,हूँ,3.681,3.931
ivr-hi-0011,11,ann2,10,सीता,4.23,4.68
ivr-hi-0011,11,ann2,11,केशरी,4.682,5.282
ivr-hi-0011,11,ann2,12,आरती,5.543,6.033
ivr-hi-0011,11,ann2,13,कुमारी,6.039,6.649
ivr-hi-0011,11,ann2,14,विष्णुकांत,6.9,7.6
ivr-hi-0011,11,ann2,15,केशरी,7.589,8.239
ivr-hi-0011,11,ann2,16,अंजली,8.526,9.026
ivr-hi-0011,11,ann2,17,गुप्ता,9.032,9.622
ivr-hi-0011,11,ann2,18,रूबी,9.861,10.231
ivr-hi-0011,11,ann2,19,अग्रहरि,10.228,10.868
ivr-hi-0013,13,ann1,0,पाँच,0.002,0.432
ivr-hi-0013,13,ann1,1,जनवरी,0.432,1.022
ivr-hi-0013,13,ann2,0,पाँच,0.026,0.295
ivr-hi-0013,13,ann2,1,जनवरी,0.366,1.006
ivr-hi-0014,14,ann1,0,या,0.0,0.328
ivr-hi-0014,14,ann1,1,फिर,0.327,0.757
ivr-hi-0014,14,ann1,2,वेज़,2.129,2.359
ivr-hi-0014,14,ann1,3,नॉनवेज़,2.358,2.778
ivr-hi-0014,14,ann1,4,में,2.779,2.939
ivr-hi-0014,14,ann2,0,या,0.038,0.348
ivr-hi-0014,14,ann2,1,फिर,0.361,0.811
ivr-hi-0014,14,ann2,2,वेज़,2.116,2.366
ivr-hi-0014,14,ann2,3,नॉनवेज़,2.351,2.711
ivr-hi-0014,14,ann2,4,में,2.794,2.969
ivr-hi-0015,15,ann1,0,नमस्ते,0.0,0.313
ivr-hi-0015,15,ann1,1,भइया,0.309,0.609
ivr-hi-0015,15,ann1,2,हम,1.752,1.812
ivr-hi-0015,15,ann1,3,ने,1.813,1.903
ivr-hi-0015,15,ann1,4,आपका,1.907,2.147
ivr-hi-0015,15,ann1,5,कैब,2.152,2.392
ivr-hi-0015,15,ann1,6,बुक,2.387,2.617
ivr-hi-0015,15,ann1,7,किया,2.616,2.896
ivr-hi-0015,15,ann1,8,था,2.893,3.123
ivr-hi-0015,15,ann1,9,ओला,3.672,3.872
ivr-hi-0015,15,ann1,10,से,3.871,4.078
ivr-hi-0015,15,ann2,0,नमस्ते,0.003,0.333
ivr-hi-0015,15,ann2,1,भइया,0.329,0.659
ivr-hi-0015,15,ann2,2,हम,1.711,1.821
ivr-hi-0015,15,ann2,3,ने,1.821,1.921
ivr-hi-0015,15,ann2,4,आपका,1.919,2.179
ivr-hi-0015,15,ann2,5,कैब,2.184,2.394
ivr-hi-0015,15,ann2,6,बुक,2.396,2.616
ivr-hi-0015,15,ann2,7,किया,2.616,2.896
ivr-hi-0015,15,ann2,8,था,2.893,3.203
ivr-hi-0015,15,ann2,9,ओला,3.625,3.895
ivr-hi-0015,15,ann2,10,से,3.895,4.118
ivr-hi-0016,16,ann1,0,रोटी,0.005,0.365
ivr-hi-0016,16,ann1,1,बनाना,0.361,0.821
ivr-hi-0016,16,ann1,2,सब्जी,0.818,1.088
ivr-hi-0016,16,ann1,3,बनाना,1.086,1.486
ivr-hi-0016,16,ann1,4,चावल,1.489,1.839
ivr-hi-0016,16,ann1,5,बनाना,1.838,2.328
ivr-hi-0016,16,ann1,6,दाल,2.322,2.592
ivr-hi-0016,16,ann1,7,बनाना,2.59,3.0
ivr-hi-0016,16,ann1,8,और,3.383,3.873
ivr-hi-0016,16,ann1,9,चावल,3.879,4.169
ivr-hi-0016,16,ann1,10,में,4.168,4.328
ivr-hi-0016,16,ann1,11,कितना,4.329,4.559
ivr-hi-0016,16,ann1,12,ज़ादा,4.558,4.828
ivr-hi-0016,16,ann1,13,पानी,4.833,5.063
ivr-hi-0016,16,ann1,14,डाला,5.061,5.311
ivr-hi-0016,16,ann1,15,जाता,5.303,5.583
ivr-hi-0016,16,ann1,16,है,5.578,5.778
ivr-hi-0016,16,ann1,17,ताकि,5.78,6.02
ivr-hi-0016,16,ann1,18,वो,6.021,6.211
ivr-hi-0016,16,ann1,19,बहोत,6.209,6.449
ivr-hi-0016,16,ann1,20,ज़ादा,6.451,6.781
ivr-hi-0016,16,ann2,0,रोटी,0.0,0.35
ivr-hi-0016,16,ann2,1,बनाना,0.355,0.755
ivr-hi-0016,16,ann2,2,सब्जी,0.757,1.097
ivr-hi-0016,16,ann2,3,बनाना,1.093,1.463
ivr-hi-0016,16,ann2,4,चावल,1.462,1.802
ivr-hi-0016,16,ann2,5,बनाना,1.798,2.308
ivr-hi-0016,16,ann2,6,दाल,2.308,2.578
ivr-hi-0016,16,ann2,7,बनाना,2.57,2.96
ivr-hi-0016,16,ann2,8,और,3.389,3.869
ivr-hi-0016,16,ann2,9,चावल,3.873,4.163
ivr-hi-0016,16,ann2,10,में,4.161,4.331
ivr-hi-0016,16,ann2,11,कितना,4.329,4.549
ivr-hi-0016,16,ann2,12,ज़ादा,4.544,4.854
ivr-hi-0016,16,ann2,13,पानी,4.853,5.073
ivr-hi-0016,16,ann2,14,डाला,5.068,5.298
ivr-hi-0016,16,ann2,15,जाता,5.296,5.606
ivr-hi-0016,16,ann2,16,है,5.605,5.755
ivr-hi-0016,16,ann2,17,ताकि,5.753,6.023
ivr-hi-0016,16,ann2,18,वो,6.021,6.221
ivr-hi-0016,16,ann2,19,बहोत,6.216,6.446
ivr-hi-0016,16,ann2,20,ज़ादा,6.444,6.764
ivr-hi-0018,18,ann1,0,प्रियदर्शनी,0.25,1.08
ivr-hi-0018,18,ann1,1,हैं,1.074,1.374
ivr-hi-0018,18,ann1,2,जो,1.979,2.239
ivr-hi-0018,18,ann1,3,देखने,2.239,2.669
ivr-hi-0018,18,ann1,4,लायक,2.668,3.018
ivr-hi-0018,18,ann1,5,है,3.159,3.379
ivr-hi-0018,18,ann1,6,और,4.005,4.485
ivr-hi-0018,18,ann1,7,वहाँ,4.485,4.755
ivr-hi-0018,18,ann1,8,पे,4.83,5.12
ivr-hi-0019,19,ann1,0,अच्छे,0.036,0.346
ivr-hi-0019,19,ann1,1,तरीके,0.346,0.736
ivr-hi-0019,19,ann1,2,से,0.736,1.016
ivr-hi-0019,19,ann1,3,खे,1.349,1.619
ivr-hi-0019,19,ann1,4,खिला,1.616,1.936
ivr-hi-0019,19,ann1,5,पाती,1.942,2.332
ivr-hi-0019,19,ann1,6,थी,2.331,2.591
ivr-hi-0019,19,ann1,7,और,2.887,3.157
ivr-hi-0019,19,ann1,8,इसी,3.153,3.503
ivr-hi-0019,19,ann1,9,कारण,3.506,3.866
ivr-hi-0019,19,ann1,10,से,3.869,4.189
ivr-hi-0019,19,ann1,11,मेरे,4.402,4.672
ivr-hi-0019,19,ann1,12,टीम,4.664,4.944
ivr-hi-0019,19,ann1,13,के,4.942,5.092
ivr-hi-0019,19,ann1,14,लोग,5.086,5.386
ivr-hi-0019,19,ann2,0,अच्छे,0.026,0.336
ivr-hi-0019,19,ann2,1,तरीके,0.335,0.705
ivr-hi-0019,19,ann2,2,से,0.703,1.013
ivr-hi-0019,19,ann2,3,खे,1.339,1.609
ivr-hi-0019,19,ann2,4,खिला,1.606,1.946
ivr-hi-0019,19,ann2,5,पाती,1.947,2.337
ivr-hi-0019,19,ann2,6,थी,2.337,2.587
ivr-hi-0019,19,ann2,7,और,2.876,3.126
ivr-hi-0019,19,ann2,8,इसी,3.134,3.514
ivr-hi-0019,19,ann2,9,कारण,3.506,3.836
ivr-hi-0019,19,ann2,10,से,3.831,4.191
ivr-hi-0019,19,ann2,11,मेरे,4.392,4.642
ivr-hi-0019,19,ann2,12,टीम,4.643,4.943
ivr-hi-0019,19,ann2,13,के,4.942,5.102
ivr-hi-0019,19,ann2,14,लोग,5.107,5.387
ivr-hi-0020,20,ann1,0,कब्ज,0.01,0.28
ivr-hi-0020,20,ann1,1,को,0.36,0.445
ivr-hi-0020,20,ann1,2,दूर,0.547,0.797
ivr-hi-0020,20,ann1,3,करने,0.879,1.169
ivr-hi-0020,20,ann1,4,के,1.253,1.413
ivr-hi-0020,20,ann1,5,लिए,1.41,1.73
ivr-hi-0020,20,ann1,6,मेरे,2.111,2.341
ivr-hi-0020,20,ann1,7,गाँव,2.409,2.679
ivr-hi-0020,20,ann1,8,में,2.746,3.066
ivr-hi-0020,20,ann1,9,यहाँ,3.135,3.385
ivr-hi-0020,20,ann1,10,प्रचलित,3.425,4.095
ivr-hi-0020,20,ann1,11,कुछ,4.315,4.575
ivr-hi-0020,20,ann1,12,घरेलु,4.58,5.1
